primary_genre,supergenre
Cdmx indie,Alternative/Indie
Cdo indie,Alternative/Indie
Cedm,House & EDM
Ceilidh,Folk/Acoustic
Cello,Classical/Orchestral
Celtic,Folk/Acoustic
Celtic harp,Folk/Acoustic
Celtic metal,Metal
Celtic punk,Punk/Hardcore
Celtic rock,Rock
Central american metal,Metal
Central asian folk,Folk/Acoustic
Central asian hip hop,Hip Hop/Rap
Cerkes muzikleri,World/Traditional
Ceske chvaly,R&B/Soul
Cha-cha,Latin
Cha-cha-cha,Latin
Chaabi algerien,World/Traditional
Chaabi marocain,World/Traditional
Chabad niggunim,World/Traditional
Chacarera,Latin
Chain punk,Punk/Hardcore
Chakma pop,Pop
Chakra,New Age/Meditation
Chalga,World/Traditional
Chamame,Latin
Chamame brasilero,Latin
Chamamã©,Latin
Chamber choir,Classical/Orchestral
Chamber ensemble,Classical/Orchestral
Chamber folk,Folk/Acoustic
Chamber music,Classical/Orchestral
Chamber orchestra,Classical/Orchestral
Chamber pop,Pop
Chamber psych,Alternative/Indie
Chamorro pop,Pop
Champeta,Latin
Channel islands indie,Alternative/Indie
Channel pop,Pop
Chanson,Pop
Chanson humoristique,Pop
Chanson paillarde,Pop
Chanson quebecois,Folk/Acoustic
Chanson virale,Pop
Chant basque,Folk/Acoustic
Chant religieux,Classical/Orchestral
Chaotic black metal,Metal
Chaotic hardcore,Punk/Hardcore
Chapman stick,Jazz
Charanga,Latin
Charango,Latin
Charlotte nc indie,Alternative/Indie
Charlottesville indie,Alternative/Indie
Charred death,Metal
Chasidic pop,Pop
Chattanooga indie,Alternative/Indie
Chechen pop,Pop
Chennai indie,Alternative/Indie
Chhattisgarhi pop,Pop
Chicago blues,Blues
Chicago bop,Jazz
Chicago drill,Hip Hop/Rap
Chicago hardcore,Punk/Hardcore
Chicago house,House & EDM
Chicago indie,Alternative/Indie
Chicago mexican,Latin
Chicago pop punk,Punk/Hardcore
Chicago punk,Punk/Hardcore
Chicago rap,Hip Hop/Rap
Chicago soul,R&B/Soul
Chicano punk,Punk/Hardcore
Chicano rap,Hip Hop/Rap
Chicha,Latin
Chihuahua indie,Alternative/Indie
Children's,Novelty/Spoken Word
Children's choir,Classical/Orchestral
Children's folk,Folk/Acoustic
Children's music,Novelty/Spoken Word
Children's story,Novelty/Spoken Word
Chilean black metal,Metal
Chilean hardcore,Punk/Hardcore
Chilean indie,Alternative/Indie
Chilean metal,Metal
Chilean rock,Rock
Chilena,Latin
Chill baile,Latin
Chill beats,Hip Hop/Rap
Chill breakcore,Bass Music
Chill drill,Hip Hop/Rap
Chill groove,Pop
Chill guitar,Folk/Acoustic
Chill lounge,Pop
Chill out,Ambient & Experimental Electronic
Chill pop,Pop
Chill r&b,R&B/Soul
Chill-out trance,Techno & Trance
Chillhop,Hip Hop/Rap
Chillstep,Ambient & Experimental Electronic
Chillsynth,Ambient & Experimental Electronic
Chillwave,Ambient & Experimental Electronic
Chimurenga,World/Traditional
Chinderlieder,Novelty/Spoken Word
Chinese audiophile,Pop
Chinese classical,Classical/Orchestral
Chinese classical performance,Classical/Orchestral
Chinese classical piano,Classical/Orchestral
Chinese drama ost,Soundtrack/Instrumental
Chinese electronic,House & EDM
Chinese electropop,Pop
Chinese experimental,Alternative/Indie
Chinese folk,Folk/Acoustic
Chinese hip hop,Hip Hop/Rap
Chinese idol pop,Pop
Chinese indie,Alternative/Indie
Chinese indie pop,Pop
Chinese indie rock,Alternative/Indie
Chinese instrumental,Soundtrack/Instrumental
Chinese jazz,Jazz
Chinese manyao,World/Traditional
Chinese melodic rap,Hip Hop/Rap
Chinese metal,Metal
Chinese metalcore,Metal
Chinese minyao,World/Traditional
Chinese new year,Pop
Chinese opera,Classical/Orchestral
Chinese post-punk,Rock
Chinese post-rock,Alternative/Indie
Chinese punk,Punk/Hardcore
Chinese r&b,R&B/Soul
Chinese singer-songwriter,Folk/Acoustic
Chinese soundtrack,Soundtrack/Instrumental
Chinese talent show,Pop
Chinese traditional,World/Traditional
Chinese viral pop,Pop
Chinese wind,World/Traditional
Chinese worship,R&B/Soul
Chip hop,Hip Hop/Rap
Chiptune,Ambient & Experimental Electronic
Chopped and screwed,Hip Hop/Rap
Choral,Classical/Orchestral
Choro,Latin
Choro contemporaneo,Latin
Christchurch indie,Alternative/Indie
Christelijk,R&B/Soul
Christian a cappella,R&B/Soul
Christian afrobeat,World/Traditional
Christian alternative rock,Rock
Christian dance,House & EDM
Christian deathcore,Metal
Christian hard rock,Rock
Christian hardcore,Punk/Hardcore
Christian hip hop,Hip Hop/Rap
Christian indie,Alternative/Indie
Christian lo-fi,Hip Hop/Rap
Christian metal,Metal
Christian metalcore,Metal
Christian music,R&B/Soul
Christian pop,Pop
Christian power metal,Metal
Christian punk,Punk/Hardcore
Christian rock,Rock
Christian symphonic metal,Metal
Christian thrash metal,Metal
Christian trap,Hip Hop/Rap
Christian uplift,R&B/Soul
Christlicher rap,Hip Hop/Rap
Christmas instrumental,New Age/Meditation
Christmas product,Pop
Chutney,World/Traditional
Cifteli,World/Traditional
Cimbalom,World/Traditional
Cimbalova muzika,World/Traditional
Cincinnati indie,Alternative/Indie
Cincinnati rap,Hip Hop/Rap
Cinematic dubstep,Bass Music
Cinematic post-rock,Alternative/Indie
Circassian folk,Folk/Acoustic
Circuit,House & EDM
Circus,Novelty/Spoken Word
City pop,Pop
Clap and tap,Pop
Classic afrobeat,World/Traditional
Classic anime,Soundtrack/Instrumental
Classic arab pop,Pop
Classic assamese pop,Pop
Classic australian country,Country/Americana
Classic azeri pop,Pop
Classic bangla pop,Pop
Classic belgian pop,Pop
Classic bhangra,World/Traditional
Classic bollywood,Soundtrack/Instrumental
Classic bulgarian pop,Pop
Classic canadian rock,Rock
Classic cantopop,Pop
Classic city pop,Pop
Classic colombian pop,Pop
Classic country pop,Country/Americana
Classic czech pop,Pop
Classic danish pop,Pop
Classic danish rock,Rock
Classic disco polo,Pop
Classic dubstep,Bass Music
Classic dutch pop,Pop
Classic female blues,Blues
Classic finnish pop,Pop
Classic finnish rock,Rock
Classic french pop,Pop
Classic garage rock,Rock
Classic girl group,Pop
Classic greek pop,Pop
Classic greek rock,Rock
Classic hardstyle,Bass Music
Classic house,House & EDM
Classic hungarian pop,Pop
Classic hungarian rock,Rock
Classic icelandic pop,Pop
Classic indo pop,Pop
Classic indonesian rock,Rock
Classic iskelma,Pop
Classic israeli pop,Pop
Classic italian folk pop,Pop
Classic italian pop,Pop
Classic j-pop,Pop
Classic j-rock,Rock
Classic japanese jazz,Jazz
Classic k-pop,Pop
Classic kollywood,Soundtrack/Instrumental
Classic konkani pop,Pop
Classic korean pop,Pop
Classic latvian pop,Pop
Classic luk thung,World/Traditional
Classic malaysian pop,Pop
Classic mandopop,Pop
Classic moroccan pop,Pop
Classic nepali pop,Pop
Classic norwegian pop,Pop
Classic nz country,Country/Americana
Classic nz pop,Pop
Classic opm,Pop
Classic pakistani pop,Pop
Classic persian pop,Pop
Classic peruvian pop,Pop
Classic polish pop,Pop
Classic portuguese pop,Pop
Classic praise,R&B/Soul
Classic progressive house,House & EDM
Classic psychedelic rock,Rock
Classic punjabi pop,Pop
Classic rock,Rock
Classic romanian pop,Pop
Classic russian pop,Pop
Classic russian rock,Rock
Classic schlager,Pop
Classic sierreno,Latin
Classic sinhala pop,Pop
Classic soul,R&B/Soul
Classic soundtrack,Soundtrack/Instrumental
Classic sudanese pop,Pop
Classic swedish pop,Pop
Classic thai pop,Pop
Classic tollywood,Soundtrack/Instrumental
Classic tunisian pop,Pop
Classic turkish pop,Pop
Classic uk pop,Pop
Classic ukrainian pop,Pop
Classic venezuelan pop,Pop
Classical,Classical/Orchestral
Classical accordion,Classical/Orchestral
Classical baritone,Classical/Orchestral
Classical bass,Classical/Orchestral
Classical bassoon,Classical/Orchestral
Classical cello,Classical/Orchestral
Classical clarinet,Classical/Orchestral
Classical contralto,Classical/Orchestral
Classical countertenor,Classical/Orchestral
Classical era,Classical/Orchestral
Classical flute,Classical/Orchestral
Classical guitar,Classical/Orchestral
Classical guitar duo,Classical/Orchestral
Classical guitar quartet,Classical/Orchestral
Classical harp,Classical/Orchestral
Classical horn,Classical/Orchestral
Classical jazz fusion,Jazz
Classical mandolin,Classical/Orchestral
Classical mezzo-soprano,Classical/Orchestral
Classical oboe,Classical/Orchestral
Classical organ,Classical/Orchestral
Classical percussion,Classical/Orchestral
Classical performance,Classical/Orchestral
Classical piano,Classical/Orchestral
Classical piano duo,Classical/Orchestral
Classical piano trio,Classical/Orchestral
Classical saxophone,Classical/Orchestral
Classical saxophone quartet,Classical/Orchestral
Classical soprano,Classical/Orchestral
Classical string trio,Classical/Orchestral
Classical tenor,Classical/Orchestral
Classical trombone,Classical/Orchestral
Classical trumpet,Classical/Orchestral
Classical tuba,Classical/Orchestral
Classify,Other
Clawhammer banjo,Folk/Acoustic
Clean comedy,Novelty/Spoken Word
Cleveland indie,Alternative/Indie
Cleveland metal,Metal
Cloud rap,Hip Hop/Rap
Cobla,Folk/Acoustic
Coco,Latin
Cocuk masallari,Novelty/Spoken Word
Cocuk sarkilari,Novelty/Spoken Word
Coldwave,Ambient & Experimental Electronic
Collage pop,Pop
College a cappella,Pop
College marching band,Classical/Orchestral
Cologne electronic,House & EDM
Cologne hip hop,Hip Hop/Rap
Cologne indie,Alternative/Indie
Colombian black metal,Metal
Colombian death metal,Metal
Colombian electronic,House & EDM
Colombian hardcore,Punk/Hardcore
Colombian hip hop,Hip Hop/Rap
Colombian indie,Alternative/Indie
Colombian pop,Pop
Colombian rock,Rock
Colorado hardcore,Punk/Hardcore
Columbus ohio indie,Alternative/Indie
Combos nacionales,Latin
Comedia,Novelty/Spoken Word
Comedie musicale,Soundtrack/Instrumental
Comedienne,Novelty/Spoken Word
Comedy,Novelty/Spoken Word
Comedy rap,Hip Hop/Rap
Comedy rock,Rock
Comfy synth,Ambient & Experimental Electronic
Comic,Novelty/Spoken Word
Comic metal,Metal
Commons,Other
Compas,Reggae/Caribbean
Complextro,House & EDM
Compositional ambient,Ambient & Experimental Electronic
Comptine,Novelty/Spoken Word
Comptine africaine,Novelty/Spoken Word
Concepcion indie,Alternative/Indie
Concert band,Classical/Orchestral
Concert film,Soundtrack/Instrumental
Concertina,Folk/Acoustic
Concerto,Classical/Orchestral
Concerto grosso,Classical/Orchestral
Concurso de talentos argentino,Pop
Congolese gospel,R&B/Soul
Conjunto,Latin
Connecticut hardcore,Punk/Hardcore
Connecticut indie,Alternative/Indie
Conscious,Hip Hop/Rap
Conscious hip hop,Hip Hop/Rap
Contemporary,Classical/Orchestral
Contemporary choir,Classical/Orchestral
Contemporary classical,Classical/Orchestral
Contemporary classical piano,Classical/Orchestral
Contemporary country,Country/Americana
Contemporary folk,Folk/Acoustic
Contemporary gospel,R&B/Soul
Contemporary jazz,Jazz
Contemporary post-bop,Jazz
Contemporary r&b,R&B/Soul
Contemporary vocal jazz,Jazz
Contrabass,Classical/Orchestral
Convent,Classical/Orchestral
Cook islands pop,Pop
Cool jazz,Jazz
Copla,World/Traditional
Coptic hymn,Classical/Orchestral
Coral gospel,R&B/Soul
Cork indie,Alternative/Indie
Cornetas y tambores,Classical/Orchestral
Cornish folk,Folk/Acoustic
Cornwall indie,Alternative/Indie
Corrido,Latin
Corridos adictivos,Latin
Corridos alternativos,Latin
Corridos clasicos,Latin
Corridos cristianos,Latin
Corridos tumbados,Latin
Corrosion,Metal
Corsican folk,Folk/Acoustic
Cosmic american,Country/Americana
Cosmic black metal,Metal
Cosmic death metal,Metal
Cosmic post-rock,Alternative/Indie
Cosmic uplifting trance,Techno & Trance
Country,Country/Americana
Country blues,Blues
Country boogie,Country/Americana
Country dawn,Country/Americana
Country gospel,R&B/Soul
Country pop,Country/Americana
Country quebecois,Country/Americana
Country rap,Hip Hop/Rap
Country road,Country/Americana
Country rock,Country/Americana
Coupe-decale,World/Traditional
Coventry indie,Alternative/Indie
Cover acustico,Folk/Acoustic
Coverchill,Ambient & Experimental Electronic
Covertrance,Techno & Trance
Covertronica,Ambient & Experimental Electronic
Cowboy western,Country/Americana
Cowpunk,Punk/Hardcore
Crack rock steady,Punk/Hardcore
Crank wave,Hip Hop/Rap
Cretan,World/Traditional
Croatian electronic,House & EDM
Croatian folk,Folk/Acoustic
Croatian hip hop,Hip Hop/Rap
Croatian indie,Alternative/Indie
Croatian metal,Metal
Croatian pop,Pop
Croatian rock,Rock
Crossover prog,Rock
Crossover thrash,Metal
Cruise,Pop
Crunk,Hip Hop/Rap
Crust,Punk/Hardcore
Crust punk,Punk/Hardcore
Cryptic black metal,Metal
Cuarteto,Latin
Cuatro,Latin
Cuatro puertorriqueno,Latin
Cuatro venezolano,Latin
Cuban alternative,Alternative/Indie
Cuban electronic,House & EDM
Cuban funk,Funk/Disco
Cuban rumba,Latin
Cubano,Latin
Cubaton,Latin
Cueca chilena,Latin
Cuento infantile,Novelty/Spoken Word
Cumbia,Latin
Cumbia 420,Latin
Cumbia amazonica,Latin
Cumbia andina mexicana,Latin
Cumbia boliviana,Latin
Cumbia chilena,Latin
Cumbia colombiana regia,Latin
Cumbia cristiana,Latin
Cumbia del sureste,Latin
Cumbia ecuatoriana,Latin
Cumbia editada,Latin
Cumbia funk,Latin
Cumbia lagunera,Latin
Cumbia paraguaya,Latin
Cumbia peruana,Latin
Cumbia pop,Latin
Cumbia ranchera,Latin
Cumbia salvadorena,Latin
Cumbia santafesina,Latin
Cumbia sonidera,Latin
Cumbia sonorense,Latin
Cumbia surena,Latin
Cumbia uruguaya,Latin
Cumbia villera,Latin
Currulao,Latin
Cut-up/dj,Ambient & Experimental Electronic
Cyber metal,Metal
Cybergrind,Metal
Cyberpunk,Ambient & Experimental Electronic
Cymraeg,Folk/Acoustic
Cypriot hip hop,Hip Hop/Rap
Cypriot metal,Metal
Cypriot pop,Pop
Czech alternative rap,Hip Hop/Rap
Czech classical,Classical/Orchestral
Czech classical piano,Classical/Orchestral
Czech contemporary classical,Classical/Orchestral
Czech country,Country/Americana
Czech drill,Hip Hop/Rap
Czech electronic,House & EDM
Czech experimental,Alternative/Indie
Czech folk,Folk/Acoustic
Czech folk rock,Folk/Acoustic
Czech hardcore,Punk/Hardcore
Czech hip hop,Hip Hop/Rap
Czech indie,Alternative/Indie
Czech jazz,Jazz
Czech metal,Metal
Czech pop,Pop
Czech pop rock,Rock
Czech psychedelic,Rock
Czech punk,Punk/Hardcore
Czech rock,Rock
Czech singer-songwriter,Folk/Acoustic
Czech swing,Jazz
Czsk black metal,Metal
Czsk electropop,Pop
Czsk emo rap,Hip Hop/Rap
Czsk hip hop,Hip Hop/Rap
Czsk hyperpop,Pop
Czsk reggae,Reggae/Caribbean
Czsk viral pop,Pop
D-beat,Punk/Hardcore
Dabke,World/Traditional
Dainuojamoji poezija,Folk/Acoustic
Dakke dak,House & EDM
Dalarna indie,Alternative/Indie
Dallas indie,Alternative/Indie
Dance pop,Pop
Dance rock,Rock
Dance-pop,Pop
Dance-punk,Punk/Hardcore
Dancefloor dnb,Bass Music
Dancehall,Reggae/Caribbean
Dancehall chileno,Reggae/Caribbean
Dancehall colombiano,Reggae/Caribbean
Dancehall guyanaise,Reggae/Caribbean
Dancehall queen,Reggae/Caribbean
Dances,Pop
Dangdut,World/Traditional
Dangdut koplo,World/Traditional
Dangdut remix,World/Traditional
Danish alternative rock,Alternative/Indie
Danish black metal,Metal
Danish choir,Classical/Orchestral
Danish classical,Classical/Orchestral
Danish contemporary classical,Classical/Orchestral
Danish death metal,Metal
Danish electro,House & EDM
Danish electronic,House & EDM
Danish electropop,Pop
Danish experimental,Alternative/Indie
Danish folk,Folk/Acoustic
Danish hardcore,Punk/Hardcore
Danish hip hop,Hip Hop/Rap
Danish indie,Alternative/Indie
Danish indie pop,Pop
Danish jazz,Jazz
Danish metal,Metal
Danish modern jazz,Jazz
Danish pop,Pop
Danish pop rock,Rock
Danish post-punk,Rock
Danish punk,Punk/Hardcore
Danish rock,Rock
Danish singer-songwriter,Folk/Acoustic
Danish techno,Techno & Trance
Dansband,Pop
Danseband,Pop
Dansei seiyu,Pop
Dansk comedy,Novelty/Spoken Word
Dansk lovsang,R&B/Soul
Dansktop,Pop
Danspunk,Punk/Hardcore
Danzon,Latin
Darbuka,World/Traditional
Dark ambient,Ambient & Experimental Electronic
Dark black metal,Metal
Dark cabaret,Pop
Dark clubbing,House & EDM
Dark disco,Funk/Disco
Dark electro,Ambient & Experimental Electronic
Dark electro-industrial,Ambient & Experimental Electronic
Dark folk,Folk/Acoustic
Dark hardcore,Punk/Hardcore
Dark jazz,Jazz
Dark minimal techno,Techno & Trance
Dark plugg,Hip Hop/Rap
Dark pop,Pop
Dark post-punk,Rock
Dark progressive house,House & EDM
Dark psytrance,Techno & Trance
Dark rock,Rock
Dark synthpop,Pop
Dark techno,Techno & Trance
Dark trap,Hip Hop/Rap
Dark wave,Ambient & Experimental Electronic
Darkstep,Bass Music
Darksynth,Ambient & Experimental Electronic
Darkwave,Ambient & Experimental Electronic
Dayton indie,Alternative/Indie
Dc hardcore,Punk/Hardcore
Dc indie,Alternative/Indie
Death 'n' roll,Metal
Death doom,Metal
Death industrial,Ambient & Experimental Electronic
Death metal,Metal
Deathcore,Metal
Deathgrass,Metal
Deathgrind,Metal
Deathrash,Metal
Deathrock,Rock
Deathstep,Bass Music
Deboxe,Hip Hop/Rap
Decije pesme,Novelty/Spoken Word
Deconstructed club,House & EDM
Deep acoustic pop,Pop
Deep active rock,Rock
Deep adult standards,Pop
Deep ambient,Ambient & Experimental Electronic
Deep big room,House & EDM
Deep brazilian pop,Pop
Deep breakcore,Bass Music
Deep ccm,R&B/Soul
Deep chill,Ambient & Experimental Electronic
Deep chill-out,Ambient & Experimental Electronic
Deep christian rock,Rock
Deep classic garage rock,Rock
Deep comedy,Novelty/Spoken Word
Deep contemporary country,Country/Americana
Deep dance pop,Pop
Deep darkpsy,Techno & Trance
Deep deep house,House & EDM
Deep deep tech house,House & EDM
Deep delta blues,Blues
Deep disco,Funk/Disco
Deep disco house,House & EDM
Deep discofox,Pop
Deep dnb,Bass Music
Deep downtempo fusion,Ambient & Experimental Electronic
Deep dubstep,Bass Music
Deep east coast hip hop,Hip Hop/Rap
Deep euro house,House & EDM
Deep eurodance,House & EDM
Deep filthstep,Bass Music
Deep flow,Hip Hop/Rap
Deep folk metal,Metal
Deep free jazz,Jazz
Deep freestyle,Hip Hop/Rap
Deep full on,Techno & Trance
Deep funk,Funk/Disco
Deep funk house,House & EDM
Deep funk ostentacao,Funk/Disco
Deep g funk,Hip Hop/Rap
Deep german hip hop,Hip Hop/Rap
Deep german indie,Alternative/Indie
Deep german punk,Punk/Hardcore
Deep gothic post-punk,Rock
Deep groove house,House & EDM
Deep happy hardcore,Garage & Breaks
Deep hardcore,Punk/Hardcore
Deep hardcore punk,Punk/Hardcore
Deep hardtechno,Techno & Trance
Deep house,House & EDM
Deep idm,Ambient & Experimental Electronic
Deep indie pop,Pop
Deep indie rock,Alternative/Indie
Deep indie singer-songwriter,Folk/Acoustic
Deep italo disco,Funk/Disco
Deep jazz fusion,Jazz
Deep latin alternative,Latin
Deep latin christian,R&B/Soul
Deep latin jazz,Jazz
Deep liquid,Bass Music
Deep liquid bass,Bass Music
Deep melodic death metal,Metal
Deep melodic hard rock,Rock
Deep melodic metalcore,Metal
Deep metalcore,Metal
Deep minimal techno,Techno & Trance
Deep motown,R&B/Soul
Deep neo-synthpop,Pop
Deep neofolk,Folk/Acoustic
Deep new americana,Country/Americana
Deep new wave,Pop
Deep norteno,Latin
Deep northern soul,R&B/Soul
Deep orgcore,Punk/Hardcore
Deep pop edm,Pop
Deep pop emo,Pop
Deep power-pop punk,Punk/Hardcore
Deep progressive house,House & EDM
Deep progressive rock,Rock
Deep progressive trance,Techno & Trance
Deep psychobilly,Rock
Deep psytrance,Techno & Trance
Deep punk rock,Punk/Hardcore
Deep r&b,R&B/Soul
Deep ragga,Reggae/Caribbean
Deep rai,World/Traditional
Deep smooth jazz,Jazz
Deep smooth r&b,R&B/Soul
Deep soft rock,Rock
Deep soul house,House & EDM
Deep soundtrack,Soundtrack/Instrumental
Deep southern soul,R&B/Soul
Deep southern trap,Hip Hop/Rap
Deep space rock,Rock
